"","species_common_name","species","location","recordingDate","method","taskLength","transcriber","speciesIndividualNumber","vocalization","abundance","startTime","tagLength","minFreq","maxFreq","internal_tag_id","Latitude","Longitude","species_id","species_genus","species_name","species_class","species_order","species_family","scientific_name","species_code","category","taxon_order","order","family","report_as"
"1","Alder Flycatcher","ALFL","WolfesIsland698161"," 2022-06-14 09:26:06","1SPM",180,"Sarah Neima",1,"Song","1",38.78,0.45,1751.07,4583.69,3455160,44.72786,-62.7587,2288,"Empidonax","alnorum","Aves","Passeriformes","Tyrannidae","Empidonax alnorum","aldfly","species",16528,"Passeriformes","Tyrannidae",NA
"2","American Crow","AMCR","WolfesIsland698161"," 2022-06-14 09:26:06","1SPM",180,"Sarah Neima",1,"Call","1",0.63,1.35,463.52,1751.07,3455322,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"3","American Crow","AMCR","PortLHebert527829"," 2021-06-21 06:08:48","1SPM",180,"Lindsay Colyn",1,"Call","1",116.46,1.93,51.5,2163.09,3411672,43.8018,-64.9323,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"4","American Crow","AMCR","PortJoli797397"," 2021-06-24 09:09:26","1SPM",180,"Lindsay Colyn",1,"Call","1",20.99,3.99,51.5,2884.12,3410747,43.8778,-64.8997,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"5","American Crow","AMCR","PortJoli797397"," 2021-06-24 06:09:26","1SPM",180,"Sarah Neima",1,"Call","1",4.83,1.96,309.01,1802.58,3409573,43.8778,-64.8997,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"6","American Crow","AMCR","WolfesIsland698161"," 2022-06-12 07:56:18","1SPM",180,"Lindsay Colyn",1,"Call","1",1.63,0.66,412.02,4068.67,3440704,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"7","American Crow","AMCR","WolfesIsland698161"," 2022-06-14 17:56:06","1SPM",180,"Lindsay Colyn",1,"Song","1",153.86,1.43,206.01,2575.11,3441014,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"8","American Crow","AMCR","PortLHebert527829"," 2021-06-21 06:08:48","1SPM",180,"Lindsay Colyn",1,"Song","1",126.84,2.61,154.51,2111.59,3413659,43.8018,-64.9323,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"9","American Crow","AMCR","OwlsHead3879193"," 2021-06-18 05:26:26","1SPM",180,"Lindsay Colyn",1,"Call","1",92.69,0.67,463.52,2729.61,3409543,44.7388,-62.8343,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"10","American Crow","AMCR","WolfesIsland2439985"," 2022-06-03 05:18:59","1SPM",180,"Lindsay Colyn",1,"Call","1",126.08,1.62,309.01,1751.07,3410840,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"11","American Crow","AMCR","PortLHebert527829"," 2021-06-18 10:08:20","1SPM",180,"Sarah Neima",1,"Call","1",85.16,1.9,154.51,2317.6,3405400,43.8018,-64.9323,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"12","American Crow","AMCR","WolfesIsland698161"," 2022-06-12 07:56:18","1SPM",180,"Lindsay Colyn",1,"Call","1",72.09,2.16,51.5,2111.59,3454520,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"13","American Crow","AMCR","PortJoli797397"," 2021-06-24 06:09:26","1SPM",180,"Sarah Neima",1,"Call","1",129.8,0.83,154.51,2163.09,3409585,43.8778,-64.8997,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"14","American Crow","AMCR","HogIsland2019511"," 2022-06-23 06:18:59","1SPM",180,"Sarah Neima",1,"Call","1",136.03,1.87,618.03,8291.85,3398991,45.22926,-63.7443,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"15","American Crow","AMCR","WolfesIsland698161"," 2022-06-14 09:26:06","1SPM",180,"Sarah Neima",1,"Call","1",81.79,1.39,412.02,1802.58,3455324,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"16","American Crow","AMCR","PortJoli797397"," 2021-06-24 09:09:26","1SPM",180,"Lindsay Colyn",1,"Call","1",140.18,3.3,154.51,2832.62,3410785,43.8778,-64.8997,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"17","American Crow","AMCR","WolfesIsland2439985"," 2022-06-03 05:18:59","1SPM",180,"Lindsay Colyn",2,"Call","1",136.4,1.86,515.02,2266.09,3410841,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"18","American Crow","AMCR","WolfesIsland698161"," 2022-06-14 09:26:06","1SPM",180,"Sarah Neima",3,"Call","1",7.14,1.99,206.01,8394.85,3455138,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"19","American Crow","AMCR","PortLHebert527829"," 2021-06-18 10:08:20","1SPM",180,"Sarah Neima",1,"Call","1",130.54,2.07,515.02,2214.59,3405475,43.8018,-64.9323,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"20","American Crow","AMCR","WolfesIsland2439985"," 2022-06-23 06:57:01","1SPM",180,"Lindsay Colyn",1,"Call","1",93.98,1.42,103,5459.23,3410926,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"21","American Crow","AMCR","WolfesIsland698161"," 2022-06-14 17:56:06","1SPM",180,"Lindsay Colyn",1,"Call","1",58.09,0.92,103,2369.1,3440999,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"22","American Crow","AMCR","WolfesIsland698161"," 2022-06-14 17:56:06","1SPM",180,"Lindsay Colyn",1,"Song","1",60.43,1.42,51.5,2317.6,3441001,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"23","American Crow","AMCR","WolfesIsland698161"," 2022-06-14 09:26:06","1SPM",180,"Sarah Neima",2,"Song","1",151,1.35,566.52,1596.57,3455341,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"24","American Crow","AMCR","WolfesIsland698161"," 2022-06-14 09:26:06","1SPM",180,"Sarah Neima",4,"Call","1",68.49,1.55,257.51,7416.31,3455325,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"25","American Crow","AMCR","HogIsland2019511"," 2022-06-23 06:18:59","1SPM",180,"Sarah Neima",2,"Call","1",139.34,4.74,309.01,10660.94,3398997,45.22926,-63.7443,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"26","American Crow","AMCR","WolfesIsland2439985"," 2022-06-12 19:56:15","1SPM",180,"Sarah Neima",1,"Call","1",120.06,1.1,51.5,2369.1,3454784,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"27","American Crow","AMCR","PortJoli797397"," 2021-06-18 07:38:11","1SPM",180,"Lindsay Colyn",1,"Call","1",133.2,6.74,103,2626.61,3406197,43.8778,-64.8997,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"28","American Crow","AMCR","WolfesIsland698161"," 2022-06-14 09:26:06","1SPM",180,"Sarah Neima",3,"Call","1",126.58,1.12,309.01,8446.35,3455334,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
